ID: 301, Score: 73, Country: C3
ID: 526, Score: 49, Country: C5
ID: 341, Score: 49, Country: C3
ID: 242, Score: 48, Country: C2
ID: 241, Score: 48, Country: C2
ID: 180, Score: 48, Country: C1
ID: 205, Score: 48, Country: C2
ID: 102, Score: 48, Country: C1
ID: 433, Score: 48, Country: C4
ID: 121, Score: 48, Country: C1
ID: 575, Score: 48, Country: C5
ID: 542, Score: 48, Country: C5
ID: 357, Score: 48, Country: C3
ID: 325, Score: 48, Country: C3
ID: 488, Score: 48, Country: C4
ID: 421, Score: 47, Country: C4
ID: 513, Score: 47, Country: C5
ID: 272, Score: 47, Country: C2
ID: 192, Score: 47, Country: C1
ID: 248, Score: 47, Country: C2
ID: 247, Score: 47, Country: C2
ID: 173, Score: 47, Country: C1
ID: 206, Score: 47, Country: C2
ID: 118, Score: 47, Country: C1
ID: 409, Score: 47, Country: C4
ID: 339, Score: 47, Country: C3
ID: 331, Score: 47, Country: C3
ID: 563, Score: 47, Country: C5
ID: 472, Score: 47, Country: C4
ID: 348, Score: 47, Country: C3
ID: 407, Score: 47, Country: C4
ID: 417, Score: 47, Country: C4
ID: 383, Score: 46, Country: C3
ID: 245, Score: 46, Country: C2
ID: 237, Score: 46, Country: C2
ID: 225, Score: 46, Country: C2
ID: 473, Score: 46, Country: C4
ID: 140, Score: 46, Country: C1
ID: 552, Score: 46, Country: C5
ID: 440, Score: 46, Country: C4
ID: 516, Score: 46, Country: C5
ID: 141, Score: 46, Country: C1
ID: 129, Score: 46, Country: C1
ID: 110, Score: 46, Country: C1
ID: 136, Score: 46, Country: C1
ID: 581, Score: 46, Country: C5
ID: 463, Score: 46, Country: C4
ID: 434, Score: 46, Country: C4
ID: 268, Score: 45, Country: C2
ID: 263, Score: 45, Country: C2
ID: 529, Score: 45, Country: C5
ID: 154, Score: 45, Country: C1
ID: 522, Score: 45, Country: C5
ID: 402, Score: 45, Country: C4
ID: 443, Score: 45, Country: C4
ID: 460, Score: 45, Country: C4
ID: 536, Score: 45, Country: C5
ID: 374, Score: 45, Country: C3
ID: 364, Score: 45, Country: C3
ID: 565, Score: 44, Country: C5
ID: 384, Score: 44, Country: C3
ID: 508, Score: 44, Country: C5
ID: 187, Score: 44, Country: C1
ID: 304, Score: 44, Country: C3
ID: 103, Score: 44, Country: C1
ID: 544, Score: 44, Country: C5
ID: 458, Score: 44, Country: C4
ID: 537, Score: 44, Country: C5
ID: 468, Score: 44, Country: C4
ID: 353, Score: 44, Country: C3
ID: 367, Score: 43, Country: C3
ID: 428, Score: 43, Country: C4
ID: 506, Score: 43, Country: C5
ID: 101, Score: 43, Country: C1
ID: 520, Score: 43, Country: C5
ID: 469, Score: 43, Country: C4
ID: 410, Score: 43, Country: C4
ID: 143, Score: 43, Country: C1
ID: 372, Score: 43, Country: C3
ID: 318, Score: 43, Country: C3
ID: 455, Score: 43, Country: C4
ID: 435, Score: 43, Country: C4
ID: 474, Score: 43, Country: C4
ID: 477, Score: 42, Country: C4
ID: 168, Score: 42, Country: C1
ID: 310, Score: 42, Country: C3
ID: 549, Score: 42, Country: C5
ID: 539, Score: 42, Country: C5
ID: 350, Score: 42, Country: C3
ID: 329, Score: 42, Country: C3
ID: 405, Score: 42, Country: C4
ID: 444, Score: 42, Country: C4
ID: 133, Score: 42, Country: C1
ID: 327, Score: 41, Country: C3
ID: 177, Score: 41, Country: C1
ID: 309, Score: 41, Country: C3
ID: 240, Score: 41, Country: C2
ID: 238, Score: 41, Country: C2
ID: 222, Score: 41, Country: C2
ID: 514, Score: 41, Country: C5
ID: 485, Score: 41, Country: C4
ID: 489, Score: 41, Country: C4
ID: 457, Score: 41, Country: C4
ID: 378, Score: 40, Country: C3
ID: 179, Score: 40, Country: C1
ID: 161, Score: 40, Country: C1
ID: 483, Score: 40, Country: C4
ID: 412, Score: 40, Country: C4
ID: 475, Score: 39, Country: C4
ID: 426, Score: 39, Country: C4
ID: 306, Score: 39, Country: C3
ID: 207, Score: 39, Country: C2
ID: 219, Score: 39, Country: C2
ID: 203, Score: 39, Country: C2
ID: 481, Score: 39, Country: C4
ID: 345, Score: 39, Country: C3
ID: 545, Score: 39, Country: C5
ID: 445, Score: 39, Country: C4
ID: 436, Score: 39, Country: C4
ID: 344, Score: 38, Country: C3
ID: 502, Score: 38, Country: C5
ID: 174, Score: 38, Country: C1
ID: 170, Score: 38, Country: C1
ID: 153, Score: 38, Country: C1
ID: 220, Score: 38, Country: C2
ID: 431, Score: 38, Country: C4
ID: 547, Score: 38, Country: C5
ID: 456, Score: 38, Country: C4
ID: 478, Score: 38, Country: C4
ID: 107, Score: 38, Country: C1
ID: 447, Score: 38, Country: C4
ID: 540, Score: 38, Country: C5
ID: 120, Score: 38, Country: C1
ID: 265, Score: 37, Country: C2
ID: 191, Score: 37, Country: C1
ID: 188, Score: 37, Country: C1
ID: 229, Score: 37, Country: C2
ID: 152, Score: 37, Country: C1
ID: 149, Score: 37, Country: C1
ID: 449, Score: 37, Country: C4
ID: 509, Score: 36, Country: C5
ID: 260, Score: 36, Country: C2
ID: 340, Score: 36, Country: C3
ID: 535, Score: 35, Country: C5
ID: 425, Score: 35, Country: C4
ID: 279, Score: 35, Country: C2
ID: 363, Score: 35, Country: C3
ID: 560, Score: 35, Country: C5
ID: 521, Score: 35, Country: C5
ID: 122, Score: 35, Country: C1
ID: 501, Score: 34, Country: C5
ID: 262, Score: 34, Country: C2
ID: 172, Score: 34, Country: C1
ID: 167, Score: 34, Country: C1
ID: 213, Score: 34, Country: C2
ID: 541, Score: 34, Country: C5
ID: 163, Score: 34, Country: C1
ID: 480, Score: 33, Country: C4
ID: 382, Score: 33, Country: C3
ID: 377, Score: 33, Country: C3
ID: 346, Score: 33, Country: C3
ID: 379, Score: 32, Country: C3
ID: 315, Score: 32, Country: C3
ID: 226, Score: 32, Country: C2
ID: 204, Score: 32, Country: C2
ID: 467, Score: 31, Country: C4
ID: 333, Score: 31, Country: C3
ID: 441, Score: 31, Country: C4
ID: 470, Score: 31, Country: C4
ID: 534, Score: 30, Country: C5
ID: 476, Score: 30, Country: C4
ID: 448, Score: 29, Country: C4
ID: 243, Score: 28, Country: C2
ID: 484, Score: 28, Country: C4
ID: 437, Score: 28, Country: C4
ID: 429, Score: 27, Country: C4
ID: 454, Score: 27, Country: C4
ID: 577, Score: 26, Country: C5
ID: 507, Score: 25, Country: C5
ID: 178, Score: 25, Country: C1
ID: 381, Score: 24, Country: C3
ID: 280, Score: 22, Country: C2
ID: 137, Score: 79, Country: C1
